quantile_bin,event_count,mean_principal_usd,total_principal_usd,min_principal_usd,max_principal_usd,event_weight,exposure_weight
0,1308,6.67578727844,8731.9297602,1,11,0.0100044362179,6.55643910663e-07
1,1307,17.8060690361,23272.5322302,11,20,0.00999678756635,1.74743664476e-06
2,1308,21.0345310672,27513.1666359,20,25,0.0100044362179,2.06584806145e-06
3,1307,28.8192855697,37666.8062396,25,35,0.00999678756635,2.82824218968e-06
4,1308,42.1574200916,55141.9054798,35,50,0.0100044362179,4.14037395433e-06
5,1307,51.3323728654,67091.4113351,50,59,0.00999678756635,5.03761213244e-06
6,1307,67.3077819343,87971.2709881,59.0048946185,76,0.00999678756635,6.60539304834e-06
7,1308,88.1611483639,115314.78206,76.00710565,100,0.0100044362179,8.65850238645e-06
8,1307,100,130700,100,100,0.00999678756635,9.81371374678e-06
9,1308,104.46402071,136638.939089,100,118.118141109,0.0100044362179,1.02596437252e-05
10,1307,131.131932552,171389.435846,118.237562617,150,0.00999678756635,1.28689124913e-05
11,1307,153.053588773,200041.040526,150,166.99,0.00999678756635,1.50202410813e-05
12,1308,186.92249764,244494.626913,166.99730069,200,0.0100044362179,1.83580740715e-05
13,1307,200.412016614,261938.505714,200,207.57,0.00999678756635,1.96678616246e-05
14,1308,232.150034705,303652.245394,207.589964936,250,0.0100044362179,2.27999710395e-05
15,1307,261.29124856,341507.661868,250,287.010130747,0.00999678756635,2.56423751791e-05
16,1307,299.05219175,390861.214617,287.21,300,0.00999678756635,2.93481260518e-05
17,1308,329.31072796,430738.432171,300,355,0.0100044362179,3.23423387381e-05
18,1307,390.67342523,510610.166775,355,400,0.00999678756635,3.83395716368e-05
19,1308,435.719710046,569921.380741,400,480,0.0100044362179,4.27930014442e-05
20,1307,498.817314138,651954.229578,480,500,0.00999678756635,4.89525033289e-05
21,1308,500,654000,500,500,0.0100044362179,4.91061116327e-05
22,1307,527.211871642,689065.916236,500,577.65358918,0.00999678756635,5.1739063922e-05
23,1307,603.747395147,789097.845458,578.009876886,646.52607414,0.00999678756635,5.92500411134e-05
24,1308,686.499625593,897941.510275,646.56791976,720.21921537,0.0100044362179,6.74226545003e-05
25,1307,773.492826468,1010955.12419,720.85618874,800,0.00999678756635,7.59083718414e-05
26,1308,862.635612017,1128327.38052,800,938.88124855,0.0100044362179,8.47213613241e-05
27,1307,991.962940907,1296495.56376,938.92163948,1000,0.00999678756635,9.73484034947e-05
28,1307,1000,1307000,1000,1000,0.00999678756635,9.81371374678e-05
29,1308,1000,1308000,1000,1000,0.0100044362179,9.82122232654e-05
30,1307,1027.00619129,1342297.09201,1000,1100,0.00999678756635,0.000100787447775
31,1308,1167.99548972,1527738.10055,1100,1204.18781936,0.0100044362179,0.000114711433809
32,1307,1301.71943309,1701347.29905,1204.22030813,1400,0.00999678756635,0.00012774701895
33,1307,1478.76688319,1932748.31632,1400,1500,0.00999678756635,0.000145121948898
34,1308,1531.40277761,2003074.83311,1500,1604.67154689,0.0100044362179,0.000150402471504
35,1307,1737.95886832,2271512.24089,1605.67332621,1850,0.00999678756635,0.000170558308373
36,1308,1968.86220848,2575271.7687,1850,2000,0.0100044362179,0.000193366334798
37,1307,2000,2614000,2000,2000,0.00999678756635,0.000196274274936
38,1307,2000,2614000,2000,2000,0.00999678756635,0.000196274274936
39,1308,2136.50313739,2794546.1037,2000,2292.5173653,0.0100044362179,0.000209830723136
40,1307,2425.45946563,3170075.52158,2292.61442598,2500,0.00999678756635,0.000238027649001
41,1308,2533.16830037,3313384.13689,2500,2664.49310669,0.0100044362179,0.000248788090685
42,1307,2852.90154824,3728742.32354,2665,3000,0.00999678756635,0.000279975591421
43,1308,3000,3924000,3000,3000,0.0100044362179,0.000294636669796
44,1307,3021.77159288,3949455.47189,3000,3150,0.00999678756635,0.000296548014207
45,1307,3371.6356219,4406727.75782,3150,3500,0.00999678756635,0.000330882668517
46,1308,3669.33710645,4799492.93524,3500,3909.7423943,0.0100044362179,0.000360373755135
47,1307,3994.04145088,5220212.17629,3909.98868456,4000,0.00999678756635,0.000391963794917
48,1308,4084.64125365,5342710.75977,4000,4300,0.0100044362179,0.000401161698763
49,1307,4530.16802753,5920929.61198,4300,4791.56662892,0.00999678756635,0.00044457772247
50,1307,4969.45239576,6495074.28126,4792,5000,0.00999678756635,0.000487687832902
51,1308,5000,6540000,5000,5000,0.0100044362179,0.000491061116327
52,1307,5000,6535000,5000,5000,0.00999678756635,0.000490685687339
53,1308,5111.29356226,6685571.97944,5000,5406.10677764,0.0100044362179,0.000501991504512
54,1307,5717.85841367,7473240.94667,5406.40380502,6000,0.00999678756635,0.000561134257164
55,1307,6027.33631732,7877728.56673,6000,6212.76178159,0.00999678756635,0.000591505532737
56,1308,6628.77880063,8670442.67122,6212.79156884,7000,0.0100044362179,0.000651027103544
57,1307,7101.04376112,9281064.19578,7000,7496,0.00999678756635,0.00069687610775
58,1308,7758.62785582,10148285.2354,7496.11980412,8000,0.0100044362179,0.000761992091209
59,1307,8241.43697959,10771558.1323,8000,8746.39431431,0.00999678756635,0.000808791033799
60,1308,9140.11837825,11955274.8387,8747.32789968,9663.81452529,0.0100044362179,0.000897671346837
61,1307,9965.64892476,13025103.1447,9666.89223278,10000,0.00999678756635,0.000978000258485
62,1307,10000,13070000,10000,10000,0.00999678756635,0.000981371374678
