currency,collateral,rate_rule,mechanism,window_start_index,liquidated_exposure_share,bad_debt_ratio,terminal_debt_erosion,mean_annual_rate,window_start
ARS,ETH,static_20,timely,0,0.8166666508,0.0152510981,0.148101616,0.2,2020-02
ARS,ETH,static_20,timely,1,1,0.1863706614,0.1555899494,0.2,2020-03
ARS,ETH,static_20,timely,2,0,0,0.1534267088,0.2,2020-04
ARS,ETH,static_20,timely,3,0,0,0.1364824805,0.2,2020-05
ARS,ETH,static_20,timely,4,2.499999875e-08,0,0.1228534525,0.2,2020-06
ARS,ETH,static_20,timely,5,0,0,0.1099377964,0.2,2020-07
ARS,ETH,static_20,timely,6,0,0,0.09484320868,0.2,2020-08
ARS,ETH,static_20,timely,7,0.4900000005,0,0.08067770892,0.2,2020-09
ARS,ETH,static_20,timely,8,0,0,0.06701050546,0.2,2020-10
ARS,ETH,static_20,timely,9,0,0,0.04681762988,0.2,2020-11
ARS,ETH,static_20,timely,10,0,0,0.02858056739,0.2,2020-12
ARS,ETH,static_20,timely,11,0,0,0.01078939277,0.2,2021-01
ARS,ETH,static_20,timely,12,0,0,-0.007153891297,0.2,2021-02
ARS,ETH,static_20,timely,13,0,0,-0.01645339524,0.2,2021-03
ARS,ETH,static_20,timely,14,0,0,-0.01531470305,0.2,2021-04
ARS,ETH,static_20,timely,15,0.5466666643,0,0.001422629241,0.2,2021-05
ARS,ETH,static_20,timely,16,0.8499999825,0,0.02613352571,0.2,2021-06
ARS,ETH,static_20,timely,17,1,0.2384928355,0.0537522156,0.2,2021-07
ARS,ETH,static_20,timely,18,1,0.08531866797,0.08653989226,0.2,2021-08
ARS,ETH,static_20,timely,19,1,0,0.1237238772,0.2,2021-09
ARS,ETH,static_20,timely,20,1,0.03606436611,0.1643641554,0.2,2021-10
ARS,ETH,static_20,timely,21,1,0.03527961839,0.2053833831,0.2,2021-11
ARS,ETH,static_20,timely,22,1,0.009128008467,0.2456988671,0.2,2021-12
ARS,ETH,static_20,timely,23,1,0.03997565359,0.2800401143,0.2,2022-01
ARS,ETH,static_20,timely,24,1,0.05663341529,0.3042397299,0.2,2022-02
ARS,ETH,static_20,timely,25,1,0.06922717442,0.324552565,0.2,2022-03
ARS,ETH,static_20,timely,26,1,0.0377213633,0.3498388768,0.2,2022-04
ARS,ETH,static_20,timely,27,1,0.06103245411,0.360441308,0.2,2022-05
ARS,ETH,static_20,timely,28,1,0.2700047851,0.3769570702,0.2,2022-06
ARS,ETH,static_20,timely,29,0,0,0.3966723937,0.2,2022-07
ARS,ETH,static_20,timely,30,0.3666666733,0,0.4102233878,0.2,2022-08
ARS,ETH,static_20,delayed_stress,0,0.8166666508,0,0.148101616,0.2,2020-02
ARS,ETH,static_20,delayed_stress,1,1,0,0.1555899494,0.2,2020-03
ARS,ETH,static_20,delayed_stress,2,0,0,0.1534267088,0.2,2020-04
ARS,ETH,static_20,delayed_stress,3,0,0,0.1364824805,0.2,2020-05
ARS,ETH,static_20,delayed_stress,4,2.499999875e-08,0,0.1228534525,0.2,2020-06
ARS,ETH,static_20,delayed_stress,5,0,0,0.1099377964,0.2,2020-07
ARS,ETH,static_20,delayed_stress,6,0,0,0.09484320868,0.2,2020-08
ARS,ETH,static_20,delayed_stress,7,0.4900000005,0,0.08067770892,0.2,2020-09
ARS,ETH,static_20,delayed_stress,8,0,0,0.06701050546,0.2,2020-10
ARS,ETH,static_20,delayed_stress,9,0,0,0.04681762988,0.2,2020-11
ARS,ETH,static_20,delayed_stress,10,0,0,0.02858056739,0.2,2020-12
