rate_rule,mechanism,paths,probability_any_liquidation,probability_any_liquidation_ci_low,probability_any_liquidation_ci_high,expected_liquidated_exposure_share,mean_bad_debt_ratio,mean_bad_debt_ci_low,mean_bad_debt_ci_high,bad_debt_var_99,bad_debt_cvar_99,mean_terminal_debt_erosion_all_paths,mean_survivor_weighted_debt_erosion,mean_borrower_net_benefit_after_penalty,mean_terminal_shortfall_share,mean_annual_rate,reserve_breach_5pct,reserve_breach_10pct,reserve_breach_20pct,safe_debt_ceiling_usd_for_10m_reserve,currency,collateral,parameter,value_label
adaptive_75,timely,10000,0.6681,0.658870452,0.677329548,0.4829466672,0.034546421,0.03313221781,0.03596062419,0.2725580914,0.3013617331,-0.04957033295,-0.02506536269,-0.07902194651,0,0.4836850599,0.1827,0.1314,0.0603,33182713.34,ARS,ETH,block_length,1
adaptive_75,timely,10000,0.66,0.6507153081,0.6692846919,0.4901266668,0.03477292432,0.03343850732,0.03610734132,0.2835450508,0.3046953563,-0.05437652992,-0.0271771284,-0.08290642029,0,0.4790450021,0.2246,0.1086,0.0475,32819666.57,ARS,ETH,block_length,3
adaptive_75,timely,10000,0.6525,0.643166947,0.661833053,0.490165667,0.03218368012,0.03088315331,0.03348420693,0.2700047851,0.2798123522,-0.05162177696,-0.0273917527,-0.08326231835,0,0.4667310731,0.2182,0.092,0.0463,35738236.43,ARS,ETH,block_length,6
adaptive_75,custom,10000,0.66,0.6507153081,0.6692846919,0.4901266668,0.02709091719,0.0259325695,0.02824926488,0.2599474639,0.2766877448,-0.05437652992,-0.0271771284,-0.08290642029,0,0.4790450021,0.1576,0.0938,0.0449,36141824.81,ARS,ETH,auction_haircut,5%
adaptive_75,custom,10000,0.66,0.6507153081,0.6692846919,0.4901266668,0.04877868561,0.04725413233,0.0503032389,0.3113874604,0.330261186,-0.05437652992,-0.0271771284,-0.08290642029,0,0.4790450021,0.3378,0.1924,0.0813,30279065.24,ARS,ETH,auction_haircut,15%
adaptive_75,custom,10000,0.6537,0.6443745122,0.6630254878,0.4819310001,0.04647242466,0.04424672487,0.04869812445,0.4382106661,0.5031879673,-0.05437652992,-0.02764805112,-0.07527965051,0.001711333325,0.4790450021,0.1746,0.1503,0.0959,19873289.21,ARS,ETH,oracle_delay,1 month
adaptive_75,custom,10000,0.66,0.6507153081,0.6692846919,0.4901266668,0.007426166759,0.00696289657,0.007889436947,0.1227221841,0.1447947312,-0.05437652992,-0.0271771284,-0.08290642029,0,0.4790450021,0.0604,0.0157,0,69063286.48,ARS,ETH,congestion_slope,0%
adaptive_75,custom,10000,0.6018,0.5922052693,0.6113947307,0.4282790012,0.04792882269,0.0463378938,0.04951975159,0.3245291702,0.354119514,-0.05437652992,-0.03056304796,-0.07366524555,0,0.4790450021,0.3024,0.2178,0.0643,28239053.78,ARS,ETH,liquidation_threshold,140%
adaptive_75,custom,10000,0.7165,0.7076663396,0.7253336604,0.5469789995,0.02646538596,0.02526624741,0.02766452452,0.2700047851,0.2716946091,-0.05437652992,-0.02396313145,-0.08904822592,0,0.4790450021,0.1611,0.0853,0.0388,36806030.24,ARS,ETH,liquidation_threshold,160%
adaptive_75,timely,10000,0.6818,0.6726707593,0.6909292407,0.4911196672,0.03053656119,0.02930575711,0.03176736527,0.244587457,0.2656267646,-0.08396484549,-0.04351986567,-0.09999559297,0,0.5248969104,0.1999,0.1258,0.0458,37646808.73,TRY,ETH,block_length,1
